model,bit_width,method,unit,correct_to_wrong,wrong_to_correct,discordant_pairs,minimum_two_sided_exact_p,log2_minimum_exact_p,raw_0_05_attainable,first_bh_cutoff_attainable,observed_exact_p,observed_fdr_p
DistilBERT,8,codebook,transformer_layer_0/feedforward_output_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_1/self_attention_layer/query/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_1/self_attention_layer/key/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_1/self_attention_layer/value/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_1/self_attention_layer/attention_output/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_1/feedforward_intermediate_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_1/feedforward_output_dense/kernel,6,6,12,0.00048828125,-11,True,True,1.0,1.0
DistilBERT,8,codebook,transformer_layer_2/self_attention_layer/query/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_2/self_attention_layer/key/kernel,1,1,2,0.5,-1,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_2/self_attention_layer/value/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_2/self_attention_layer/attention_output/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_2/feedforward_intermediate_dense/kernel,2,0,2,0.5,-1,False,False,0.5,1.0
DistilBERT,8,codebook,transformer_layer_2/feedforward_output_dense/kernel,2,1,3,0.25,-2,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_3/self_attention_layer/query/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_3/self_attention_layer/key/kernel,1,1,2,0.5,-1,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_3/self_attention_layer/value/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_3/self_attention_layer/attention_output/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_3/feedforward_intermediate_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_3/feedforward_output_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_4/self_attention_layer/query/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_4/self_attention_layer/key/kernel,0,2,2,0.5,-1,False,False,0.5,1.0
DistilBERT,8,codebook,transformer_layer_4/self_attention_layer/value/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_4/self_attention_layer/attention_output/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_4/feedforward_intermediate_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_4/feedforward_output_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_5/self_attention_layer/query/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_5/self_attention_layer/key/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_5/self_attention_layer/value/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_5/self_attention_layer/attention_output/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_5/feedforward_intermediate_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,transformer_layer_5/feedforward_output_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,codebook,pooled_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
